TransactionID,ProductID,TransactionDate,TransactionType,Quantity,UnitCost,WarehouseID,BatchNumber,ExpiryDate
1,1.0,2022-12-29,Inbound,426.0,44.31,1,B000001,2023-03-13
2,1.0,2022-12-03,Inbound,475.0,44.31,2,B000002,2023-02-06
3,1.0,2022-12-22,Inbound,240.0,44.31,3,B000003,2023-03-07
4,1.0,2022-12-04,Inbound,494.0,44.31,4,B000004,2023-05-07
5,1.0,2022-12-13,Inbound,392.0,44.31,5,B000005,2023-05-17
6,2.0,2022-12-13,Inbound,369.0,31.73,1,B000006,2023-02-22
7,2.0,2022-12-18,Inbound,347.0,31.73,2,B000007,2023-01-23
8,2.0,2022-12-08,Inbound,285.0,31.73,3,B000008,2023-05-12
9,2.0,2022-12-10,Inbound,465.0,31.73,4,B000009,2023-03-22
10,2.0,2022-12-16,Inbound,414.0,31.73,5,B000010,2023-05-29
11,3.0,2022-12-28,Inbound,309.0,32.15,1,B000011,2023-06-01
12,3.0,2022-12-31,Inbound,382.0,32.15,2,B000012,2023-06-28
13,3.0,2022-12-16,Inbound,378.0,32.15,3,B000013,2023-04-21
14,3.0,2022-12-05,Inbound,250.0,32.15,4,B000014,2023-04-04
15,3.0,2022-12-10,Inbound,308.0,32.15,5,B000015,2023-05-29
16,4.0,2022-12-17,Inbound,380.0,22.83,1,B000016,2023-03-10
17,4.0,2022-12-30,Inbound,268.0,22.83,2,B000017,2023-03-18
18,4.0,2022-12-05,Inbound,470.0,22.83,3,B000018,2023-03-23
19,4.0,2022-12-18,Inbound,372.0,22.83,4,B000019,2023-02-18
20,4.0,2022-12-19,Inbound,311.0,22.83,5,B000020,2023-04-24
21,5.0,2022-12-17,Inbound,273.0,15.41,1,B000021,2023-02-08
22,5.0,2022-12-04,Inbound,497.0,15.41,2,B000022,2023-02-14
23,5.0,2022-12-02,Inbound,426.0,15.41,3,B000023,2023-02-25
24,5.0,2022-12-26,Inbound,465.0,15.41,4,B000024,2023-03-28
25,5.0,2022-12-30,Inbound,384.0,15.41,5,B000025,2023-06-02
26,6.0,2022-12-14,Inbound,464.0,23.17,1,B000026,2023-06-02
27,6.0,2022-12-11,Inbound,433.0,23.17,2,B000027,2023-02-04
28,6.0,2022-12-10,Inbound,381.0,23.17,3,B000028,2023-01-19
29,6.0,2022-12-02,Inbound,212.0,23.17,4,B000029,2023-03-11
30,6.0,2022-12-22,Inbound,386.0,23.17,5,B000030,2023-04-14
31,7.0,2022-12-02,Inbound,273.0,17.98,1,B000031,2023-02-25
32,7.0,2022-12-11,Inbound,256.0,17.98,2,B000032,2023-05-07
33,7.0,2022-12-26,Inbound,446.0,17.98,3,B000033,2023-05-07
34,7.0,2022-12-04,Inbound,392.0,17.98,4,B000034,2023-01-07
35,7.0,2022-12-18,Inbound,298.0,17.98,5,B000035,2023-02-26
36,8.0,2022-12-16,Inbound,213.0,24.93,1,B000036,2023-03-29
37,8.0,2022-12-02,Inbound,244.0,24.93,2,B000037,2023-02-15
38,8.0,2022-12-15,Inbound,203.0,24.93,3,B000038,2023-03-18
39,8.0,2022-12-04,Inbound,416.0,24.93,4,B000039,2023-05-12
40,8.0,2022-12-18,Inbound,497.0,24.93,5,B000040,2023-01-18
41,9.0,2022-12-28,Inbound,321.0,25.66,1,B000041,2023-05-11
42,9.0,2022-12-17,Inbound,200.0,25.66,2,B000042,2023-03-08
43,9.0,2022-12-17,Inbound,244.0,25.66,3,B000043,2023-01-19
44,9.0,2022-12-04,Inbound,219.0,25.66,4,B000044,2023-02-19
45,9.0,2022-12-13,Inbound,255.0,25.66,5,B000045,2023-04-11
46,10.0,2022-12-17,Inbound,237.0,10.74,1,B000046,2023-03-08
47,10.0,2022-12-14,Inbound,219.0,10.74,2,B000047,2023-04-17
48,10.0,2022-12-12,Inbound,305.0,10.74,3,B000048,2023-06-05
49,10.0,2022-12-24,Inbound,387.0,10.74,4,B000049,2023-02-16
50,10.0,2022-12-18,Inbound,384.0,10.74,5,B000050,2023-02-27
51,11.0,2022-12-15,Inbound,403.0,29.5,1,B000051,2023-06-01
52,11.0,2022-12-18,Inbound,297.0,29.5,2,B000052,2023-03-09
53,11.0,2022-12-03,Inbound,476.0,29.5,3,B000053,2023-04-30
54,11.0,2022-12-10,Inbound,231.0,29.5,4,B000054,2023-05-15
55,11.0,2022-12-23,Inbound,312.0,29.5,5,B000055,2023-03-06
56,12.0,2022-12-29,Inbound,243.0,44.44,1,B000056,2023-04-27
57,12.0,2022-12-29,Inbound,351.0,44.44,2,B000057,2023-02-23
58,12.0,2022-12-27,Inbound,251.0,44.44,3,B000058,2023-04-02
59,12.0,2022-12-09,Inbound,453.0,44.44,4,B000059,2023-01-27
60,12.0,2022-12-13,Inbound,330.0,44.44,5,B000060,2023-05-11
61,13.0,2022-12-15,Inbound,264.0,33.65,1,B000061,2023-05-16
62,13.0,2022-12-11,Inbound,247.0,33.65,2,B000062,2023-04-01
63,13.0,2022-12-13,Inbound,445.0,33.65,3,B000063,2023-01-27
64,13.0,2022-12-08,Inbound,417.0,33.65,4,B000064,2023-02-23
65,13.0,2022-12-28,Inbound,429.0,33.65,5,B000065,2023-01-28
66,14.0,2022-12-31,Inbound,290.0,5.42,1,B000066,2023-06-25
67,14.0,2022-12-25,Inbound,404.0,5.42,2,B000067,2023-06-09
68,14.0,2022-12-06,Inbound,464.0,5.42,3,B000068,2023-04-05
69,14.0,2022-12-02,Inbound,357.0,5.42,4,B000069,2023-03-08
70,14.0,2022-12-24,Inbound,258.0,5.42,5,B000070,2023-04-01
71,15.0,2022-12-23,Inbound,237.0,37.19,1,B000071,2023-04-02
72,15.0,2022-12-29,Inbound,435.0,37.19,2,B000072,2023-03-12
73,15.0,2022-12-21,Inbound,268.0,37.19,3,B000073,2023-03-10
74,15.0,2022-12-26,Inbound,494.0,37.19,4,B000074,2023-03-29
75,15.0,2022-12-05,Inbound,225.0,37.19,5,B000075,2023-05-07
