OrderDetailID,OrderID,ProductID,Quantity,UnitPrice,DiscountPercent,TotalLineAmount
1,1,14,5,95.51,0.03,463.2235
2,1,40,2,14.37,0.04,27.5904
3,2,30,7,95.73,0.06,629.9034
4,2,39,5,69.63,0.09,316.81649999999996
5,2,3,2,46.64,0.03,90.4816
6,2,47,6,62.32,0.09,340.2672
7,2,46,9,78.86,0.06,667.1555999999999
8,3,2,1,23.26,0.03,22.5622
9,3,50,1,23.37,0.09,21.2667
10,3,6,8,31.72,0.16,213.15839999999997
11,3,44,6,79.47,0.05,452.979
12,4,50,8,23.37,0.11,166.39440000000002
13,4,17,3,67.11,0.17,167.10389999999998
14,4,21,4,84.01,0.01,332.6796
15,4,41,1,24.85,0.19,20.128500000000003
16,5,36,6,57.5,0.08,317.40000000000003
17,5,7,2,20.53,0.19,33.2586
18,6,36,9,57.5,0.16,434.7
19,7,9,5,81.64,0.05,387.78999999999996
20,7,24,2,97.28,0.17,161.4848
21,7,32,3,55.49,0.09,151.48770000000002
22,7,38,2,55.98,0.09,101.8836
23,7,10,4,83.62,0.06,314.4112
24,8,5,9,65.94,0.16,498.5064
25,9,35,9,55.38,0.04,478.4832
26,9,31,7,57.86,0.11,360.4678
27,9,38,6,55.98,0.06,315.7272
28,9,3,9,46.64,0.03,407.1672
29,9,36,8,57.5,0.19,372.6
30,10,45,4,64.46,0.08,237.2128
31,10,36,8,57.5,0.17,381.79999999999995
32,11,22,3,88.78,0.04,255.68640000000002
33,11,39,7,69.63,0.15,414.2985
34,11,49,5,27.29,0.06,128.26299999999998
35,11,47,3,62.32,0.11,166.39440000000002
36,11,24,7,97.28,0.05,646.912
37,12,42,9,80.86,0.1,654.966
38,12,8,4,74.62,0.19,241.76880000000003
39,13,48,2,34.73,0.08,63.9032
40,13,15,6,84.6,0.05,482.21999999999997
41,14,34,1,27.1,0.02,26.558
42,15,16,5,70.97,0.12,312.26800000000003
43,15,4,4,85.56,0.09,311.4384
44,16,24,8,97.28,0.1,700.416
45,16,23,9,26.09,0.16,197.2404
46,16,48,4,34.73,0.14,119.47119999999998
47,17,26,3,27.01,0.18,66.44460000000001
48,17,1,5,36.31,0.1,163.395
49,17,12,8,79.66,0.18,522.5696
50,17,39,3,69.63,0.18,171.2898
51,17,7,3,20.53,0.16,51.7356
52,18,33,7,57.56,0.14,346.51120000000003
53,18,29,2,88.54,0.16,148.7472
54,18,13,9,48.07,0.13,376.3881
55,19,11,6,40.72,0.01,241.8768
56,20,7,2,20.53,0.11,36.543400000000005
57,20,40,4,14.37,0.13,50.0076
58,20,14,10,95.51,0.07,888.2429999999999
59,21,18,2,39.71,0.18,65.12440000000001
60,21,40,2,14.37,0.2,22.992
61,21,35,8,55.38,0.04,425.3184
62,22,22,10,88.78,0.2,710.24
63,22,44,7,79.47,0.04,534.0383999999999
64,22,24,4,97.28,0.02,381.3376
65,22,9,7,81.64,0.04,548.6208
66,23,23,7,26.09,0.07,169.84589999999997
67,23,48,8,34.73,0.08,255.6128
68,23,21,2,84.01,0.15,142.817
69,24,13,10,48.07,0.19,389.367
70,24,32,1,55.49,0.04,53.2704
71,24,41,2,24.85,0.11,44.233000000000004
72,24,7,5,20.53,0.01,101.6235
73,24,27,9,83.25,0.19,606.8925
74,25,39,5,69.63,0.14,299.409
75,26,21,10,84.01,0.18,688.8820000000001
76,26,13,8,48.07,0.02,376.8688
77,26,40,7,14.37,0.15,85.5015
78,26,18,9,39.71,0.14,307.3554
79,26,38,7,55.98,0.07,364.42979999999994
80,27,39,10,69.63,0.1,626.67
81,27,42,7,80.86,0.04,543.3792
82,27,32,6,55.49,0.01,329.6106
83,28,20,9,60.23,0.04,520.3871999999999
84,28,28,7,35.08,0.11,218.54840000000002
85,28,15,4,84.6,0.07,314.71199999999993
86,28,39,9,69.63,0.11,557.7363
87,29,13,10,48.07,0.1,432.63
88,29,4,2,85.56,0.04,164.2752
89,30,28,5,35.08,0.09,159.61399999999998
90,30,5,7,65.94,0.12,406.1904
91,31,19,5,42.91,0.13,186.65849999999998
92,31,46,4,78.86,0.05,299.668
93,31,27,8,83.25,0.2,532.8000000000001
